country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Italy,"A dusty, mineral quality of lead pencil, brimstone and crushed granite appears at first. It is soon followed by bright cherry, raspberry, leather and tobacco. In the mouth, the wine delivers an elegant and toned quality of tannins with a touch of sour cherry on the close.",Riserva,91,120.0,Tuscany,Brunello di Montalcino,,,,Le Chiuse 2007 Riserva  (Brunello di Montalcino),Sangiovese Grosso,Le Chiuse
Spain,"Aromas of earthy, nutty, mature berry fruits come with a hint of raisin and a touch of compost. This saturated Vino de Cádiz is composed of 80% Syrah, with Merlot and Cabernet Sauvignon. It's a heavy wine with flavors of vanilla, burnt wood, blackened spices and stewed berries. The finish tastes peppery, dark and outright woody. Drink through 2019.",Taberner No1,90,90.0,Andalucia,Vino de la Tierra de Cádiz,,Michael Schachner,@wineschach,Huerta de Albalá 2008 Taberner No1 Red (Vino de la Tierra de Cádiz),Red Blend,Huerta de Albalá
Italy,"This elegant, savory red opens with aromas of wild berry, baking spice and a whiff of toast. The supple palate offers sour cherry, crushed raspberry, white pepper and a hint of cinnamon alongside silky tannins. Enjoy through 2016.",,88,18.0,Northeastern Italy,Trentino,,Kerin O’Keefe,@kerinokeefe,Bottega Vinai 2013 Pinot Nero (Trentino),Pinot Nero,Bottega Vinai
Australia,"Known more for its red wines, Wolf Blass nevertheless makes a creditable Chardonnay for $12. hints of vanilla and toasted almond mark the nose, while the fruit flavors veer toward citrus and stay there, turning lemony on the finish.",Yellow Label,85,12.0,South Australia,South Australia,,Joe Czerwinski,@JoeCz,Wolf Blass 2009 Yellow Label Chardonnay (South Australia),Chardonnay,Wolf Blass
US,"A gorgeous Chardonnay, so dry and crisp, it makes the mouth water, yet so rich it dazzles. Shows waves of tangerine, apricot and lime flavors, liberally oaked, accompanied by vibrant acidity and the perfect touch of softening cream from lees aging. Drink now.",Oliver's Vineyard,93,32.0,California,Edna Valley,Central Coast,,,Talley 2009 Oliver's Vineyard Chardonnay (Edna Valley),Chardonnay,Talley
Italy,"This is simple, showing dry tones of crushed stone and white peach. There is some softness in the mouth thanks to the creamy quality of the wine's foamy bubbles.",Brut,86,,Veneto,Prosecco,,,,Caposaldo NV Brut  (Prosecco),Glera,Caposaldo
Chile,"Rustic, earthy aromas of tomato, herbs and leather are not textbook clean but they stir interest. This is hard and tannic, with gritty, raw flavors of spicy herbal plum. On the finish, this smacks down hard with tannic bite along with chocolate and herbal spice flavors.",Grand Reserve,87,18.0,Curicó Valley,,,Michael Schachner,@wineschach,Junta 2013 Grand Reserve Cabernet Sauvignon (Curicó Valley),Cabernet Sauvignon,Junta
US,"Shows very bright acidity and a firm minerality, which gives it a tangy, mouthwatering vitality. Rich, too, in lemondrop candy, pineapple jam and spice flavors. The oak has been tastefully applied, with just- right notes of buttered toast. A flattering, balanced, elegant Chardonnay for drinking soon.",Sanford & Benedict Vineyard,93,30.0,California,Santa Ynez Valley,Central Coast,,,Au Bon Climat 2008 Sanford & Benedict Vineyard Chardonnay (Santa Ynez Valley),Chardonnay,Au Bon Climat
US,"The aromas leap out of the glass, with notes of freshly peeled tangerine, white flowers, jasmine and honeysuckle. It drinks quite sweet but manages to stay in balance. It's a delicious example of this variety. Enjoy it for dessert.",Reserve Late Harvest,88,30.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Crest 2016 Reserve Late Harvest Muscat Canelli (Columbia Valley (WA)),Muscat Canelli,Columbia Crest
Austria,"Zesty green citrus with lifted notes of Conference pear strike out for a fruity opening. The palate follows up with concentrated spiciness and even more grapefruit zest. This is lively, taut, slender, refreshing and full of tension, with an appetizing edge of pepper.",Kittmannsberg,91,14.0,Kamptal,,,Anne Krebiehl MW,@AnneInVino,Nastl 2014 Kittmannsberg Grüner Veltliner (Kamptal),Grüner Veltliner,Nastl
US,"Deep and delicious with inviting layers of raspberry and berry cobbler, Big John is a brambly, structured Zin, with bright zaps of black pepper and clove, plus a long, satisfying finish. This is perhaps the best Zin in all of Calaveras County right now.",Big John,92,36.0,California,Calaveras County,Sierra Foothills,Virginie Boone,@vboone,Newsome-Harlow 2010 Big John Zinfandel (Calaveras County),Zinfandel,Newsome-Harlow
New Zealand,"A New World analog to an Alsace vendange tardive, this sweet, lushly fruited Riesling displays ample honey, melon and apple fruit, with just a hint of lime zest to provide some balance to its 60 g/L of residual sugar. Try it with spicy Asian dishes, on its own or with a cheese course.",Riche,89,24.0,Waipara,,,Joe Czerwinski,@JoeCz,Mountford 2009 Riche Riesling (Waipara),Riesling,Mountford
Austria,"Notes of tart lemon peel appear on the nose. The lean and light body continues in that lemony vein with brisk freshness. This wine is light, with a slight texture made up of yeastiness and zesty lemon. Some notes of grass appear on the finish. Drink this light, dry wine soon.",Classic,89,20.0,Südsteiermark,,,Anne Krebiehl MW,@AnneInVino,Strauss 2016 Classic Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,Strauss
US,"A new bottling from the winery, made from vines grown 2,000 feet up the mountain that were planted only in 2001. It's far too immature to drink now or anytime soon. The tannins are thick and on lockdown, the blackberry, cassis and cherry fruit all primary and not yet integrated with the oak. But these parts are high-quality and need time to mesh and develop. Best after 2010 through 2016 and beyond.",Yverdon Vineyard,93,70.0,California,Spring Mountain District,Napa,,,Terra Valentine 2004 Yverdon Vineyard Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine
Argentina,"Flat on the nose, with neutral, slightly floral aromas. The palate is zesty and tart, with midland flavors of lemon, sour apple and lime. Chalky but o.k. on the finish. A one-dimensional white with hardly any lasting potential.",,83,9.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Odyssea 2009 Pinot Gris (Mendoza),Pinot Gris,Odyssea
US,"This wine is a blend of Merlot, Cabernet Sauvignon, Cabernet Franc and Petit Verdot. Brooding aromas of wood spice and red and black fruit lead to sultry, well-balanced dark-fruit flavors with a persistently long finish.",Starboard,91,34.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Mosquito Fleet 2012 Starboard Meritage (Columbia Valley (WA)),Meritage,Mosquito Fleet
US,"Bright and crisply defined, this is a lush and forward wine with flavors of buttered apples, pear tart and vanilla spice. It rolls into a seamless finish, continuing along the bakery path with brioche and apple pie.",Domaine Danielle Laurent,89,50.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,Soléna 2012 Domaine Danielle Laurent Chardonnay,Chardonnay,Soléna
Portugal,This wine is spicy with ripe tannins and juicy berry fruits. It is soft and ready to drink with its balanced fruitiness and acidity.,Vinhas Velhas,87,55.0,Douro,,,Roger Voss,@vossroger,Quinta Foz Torto 2013 Vinhas Velhas Red (Douro),Portuguese Red,Quinta Foz Torto
Italy,"This Sicilian Inzolia releases fresh aromas of citrus, sage, passion fruit, pear and apple. The wine feels fresh, zippy and clean overall.",,85,12.0,Sicily & Sardinia,Sicilia,,,,D'Alessandro 2010 Inzolia (Sicilia),Inzolia,D'Alessandro
France,"Thirteen years on, this is still not remotely mature. It is a major wine, with its still-tight, vibrant acidity and wonderful piercing grapefruit flavors. The acidity of the vintage is all there, but the strength of this Champagne is that the acidity is finely balanced with minerality and fruit.",Le Mesnil sur Oger Grand Cru Blanc de Blancs Brut,94,,Champagne,Champagne,,Roger Voss,@vossroger,Pascal Doquet 1996 Le Mesnil sur Oger Grand Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Pascal Doquet
US,"Luscious pink grapefruit and a hint of raspberry seduce on the palate of this bright, fruity Riesling. It's pleasantly sweet but calibrated neatly by a shot of lemon-lime acidity on the midpalate. A straightforward, spry sip for everyday enjoyment.",Medium,87,16.0,New York,Seneca Lake,Finger Lakes,Anna Lee C. Iijima,,J.R. Dill 2016 Medium Riesling (Seneca Lake),Riesling,J.R. Dill
US,"Edelzwicker is an Alsatian term meaning noble blend, and is applied to any blend of white wine grapes. Here it includes Gewürztraminer, Pinot Gris and Riesling. This white is substantial and fruit-driven more than floral in this new vintage. Apple, pear and nectarine flavors carry a light touch of mint. It's very refreshing, well balanced and distinctive.",Wirtz Vineyard,90,28.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Big Table Farm 2015 Wirtz Vineyard Edelzwicker (Willamette Valley),Edelzwicker,Big Table Farm
Italy,"Here's an intense, slightly oxidized, 80-20 blend of Riesling and Chard that is redolent of apple, pear, pine nut, resin and maple syrup. The wine has loads of personality and complexity and is very unique in a non-commercial way. The word Holbar refers to the acacia wood casks used to age the wine.",Holbar Bianco,90,,Northeastern Italy,Friuli,,,,Marega 2003 Holbar Bianco White (Friuli),White Blend,Marega
US,"This lush offering opens with appealing aromas of rose petals and fresh strawberries, then glides into a smooth-as-silk midpalate. The berry/cherry fruit is nicely adorned with toasty barrel flavors, and it's as satiny as new sheets. You'll find it hard to keep from gulping this by the glassful.",,91,30.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,La Crema 2013 Pinot Noir (Willamette Valley),Pinot Noir,La Crema
US,"Elizabeth's Reserve is comprised of Adelsheim's “best barrels from our best lots.” In this light vintage it brings scents and flavors of pretty cherry and apple fruit, along with a hint of milk chocolate. The tannins are moderate, and there's a streak of root beer and a little stemmy bitterness carrying through the finish.",Elizabeth's Reserve,89,55.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Adelsheim 2011 Elizabeth's Reserve Pinot Noir (Willamette Valley),Pinot Noir,Adelsheim
Chile,"Floral and mineral aromas tell you this isn't run of the mill, and seeing that it's from the emerging Elqui Valley in northern Chile, it's not. Aromas of violet petals and slate rise above the norm, while the palate is rich, slick and tastes of truffle, licorice, pepper and blackberry. Fairly stylish and ready to drink now. Good complexity for a value-priced wine.",Reserva,89,13.0,Elqui Valley,,,Michael Schachner,@wineschach,Falernia 2005 Reserva Syrah (Elqui Valley),Syrah,Falernia
US,"Just delicious, an important, elegant Merlot to drink with the finest steaks and chops. Even better than the fine 2006, with vast, deep flavors of blackberries, black cherries, cocoa, grilled meat and herbs, wrapped into rich, smooth tannins. Gets better and better as it warms in the glass. Drink over the next six years.",Reserve Mailbox Vineyard,94,60.0,California,Spring Mountain District,Napa,,,Keenan 2007 Reserve Mailbox Vineyard Merlot (Spring Mountain District),Merlot,Keenan
Italy,This is a fragrant and creamy white wine with pretty floral tones backed by fresh fruit and citrus. Pair it with sushi or swordfish carpaccio.,Colomba Platino,87,15.0,Sicily & Sardinia,Sicilia,,,,Duca di Salaparuta 2007 Colomba Platino Insolia (Sicilia),Insolia,Duca di Salaparuta
Greece,"This wine starts with a refined nose of lemon, peach and flower notes. The palate is lively and balanced, and it offers ripe citrus flavors, buoyed by spice and flint notes. An expressive medium-bodied white with style.",,88,22.0,Cephalonia,,,Susan Kostrzewa,@suskostrzewa,Gentilini 2010 Robola (Cephalonia),Robola,Gentilini
Chile,"Scratchy rhubarb aromas run tart and weedy. The palate on this basic Merlot is high in acid and thus shrill, with sharp raspberry and cherry flavors. A short, choppy finish with sour plum flavors closes out this marginal, crisp wine.",,82,-10.0,Curicó Valley,,,Michael Schachner,@wineschach,San Nicolas 2011 Merlot (Curicó Valley),Merlot,San Nicolas
US,"An ultrapure nose and tons of polish and precision define this tasty reserve-style blend of several vineyards. Pretty much an easy-drinker, with an undercurrent of sweet cherries and vanilla. It hits all chords and fades away smooth. Style and power come in proper proportions. Will age nicely for at least five years.",Reserve,91,36.0,Oregon,Willamette Valley,Willamette Valley,Michael Schachner,@wineschach,Panther Creek 1998 Reserve Pinot Noir (Willamette Valley),Pinot Noir,Panther Creek
US,"Aromas of white pepper and pear start it off, and it smells snappy and inviting. The palate is all about grapefruit and orange; in a word, it's citrusy. The finish comes in waves, with notes of stone fruit and licorice. As a whole it's round and satisfying, but it's also a tad bit dilute and dull, which is why it rates where it does.",,85,18.0,Oregon,Willamette Valley,Willamette Valley,Michael Schachner,@wineschach,Sokol Blosser 2001 Pinot Gris (Willamette Valley),Pinot Gris,Sokol Blosser
France,"This wine's black currant aromas shine. It's still young and structured, its firm tannins at the fore. But those black currant flavors are crisp and fruity, highlighting its fine balance, as all the elements fall into place. Drink from 2020.",,92,28.0,Bordeaux,Haut-Médoc,,Roger Voss,@vossroger,Château Larrivaux 2015  Haut-Médoc,Bordeaux-style Red Blend,Château Larrivaux
Italy,"Here's a bright, ruby-colored Barbera with a vertical and immediate delivery of aromas of red apple, forest fruit and white almond. Those apple notes appear again in the mouth and the wine is crisp on the close.",,84,,Piedmont,Barbera del Monferrato,,,,Mario Garrone 2008  Barbera del Monferrato,Barbera,Mario Garrone
US,"Pure purple fruit and flower aromas hit the nose on this straight-ahead bottling, with plum candy, sour cherry and a touch of soy sauce as well. Strong energy and purple fruit show on the palate, along with violets and blueberries, proving floral and fairly tangy.",Nocturne,88,32.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Midnight 2012 Nocturne Syrah (Paso Robles),Syrah,Midnight
US,"Fresh, jammy boysenberry, mulberry, raspberry and cherry fruits mark this vibrant, young Zinfandel. It's also bright in acidity, which gives it a clean, zingy mouthfeel. You might want to give it 2–3 years in the cellar to allow it to soften and mellow.",Beeson Ranch,88,38.0,California,Dry Creek Valley,Sonoma,,,Dry Creek Vineyard 2011 Beeson Ranch Zinfandel (Dry Creek Valley),Zinfandel,Dry Creek Vineyard
Italy,"Made with 100% Sangiovese, this stunning but reserved wine opens with multifaceted aromas of underbrush, violet, black berries and just a whiff of leather. The delicious, structured palate delivers vibrant black cherry and ripe raspberry alongside notes of black pepper and grilled rosemary. It's impeccably balanced by fresh acidity and a tannic backbone. It's still young so give this time to fully develop. Drink 2016–2022.",Riserva,94,43.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Cinciano 2010 Riserva  (Chianti Classico),Sangiovese,Cinciano
US,"Stewy yet intriguing with a taste of clove that finishes bitter, this Petite Sirah needs a rich risotto to stand next to.",Naggiar Vineyards,85,22.0,California,Sierra Foothills,Sierra Foothills,Virginie Boone,@vboone,Ursa 2006 Naggiar Vineyards Petite Sirah (Sierra Foothills),Petite Sirah,Ursa
Italy,"This is a straightforward and genuine Barolo with deep layers of bright fruit, spice and mineral packaged seamlessly together as a whole. In the mouth, the wine is clean and elegant with dry, finely textured tannins.",Cerretta,91,,Piedmont,Barolo,,,,Germano Ettore 2006 Cerretta  (Barolo),Nebbiolo,Germano Ettore
US,"This winery's Walla Walla Valley debut displays aromas of ash, green olive, grilled asparagus, dried flowers, smoked meat and blue fruit. The smoke and savory flavors are soft and reserved in style, showing a pleasing persistence on the finish.",Stoney Vine Vineyard,91,58.0,Oregon,Walla Walla Valley (OR),Oregon Other,Sean P. Sullivan,@wawinereport,Rudius 2013 Stoney Vine Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Rudius
US,"Very dry and tannic. Treads the line between elegant and boring. Some good cherry and blackberry flavors erupt midpalate, but it's really a fairly lean, earthy Cabernet. The score reflects where it could end up in, say, eight years.",,87,35.0,California,Carneros,Napa-Sonoma,,,Clos du Val 2008 Cabernet Sauvignon (Carneros),Cabernet Sauvignon,Clos du Val
Argentina,"Smoky and rubbery upon opening, with woodspice settling in as the dominant aroma. Tight and jagged in the mouth, with minty, toasty flavors of black fruits and pepper. Turns more tannic, drying and woody with time.",,85,10.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Tilia 2010 Bonarda (Mendoza),Bonarda,Tilia
US,"This blend of 75% Marsanne and 25% Roussanne is extremely floral, fruity and tropical on the nose, with coconut, mango, guava and tuberose scents. Acidity helps keep that ripeness in check on the palate, but the tropical flavor is powerfully persistent.",Mr. Blanc,87,20.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Cass 2016 Mr. Blanc White (Paso Robles),Rhône-style White Blend,Cass
France,"Dark and weighty, this is a dense wine, very firm in its tannins as well as bringing out rich blackberry fruits. The wood shows through strongly, while there is a pepper edge from the high alcohol.",L'Orangerie de Carignan,85,,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château Carignan 2011 L'Orangerie de Carignan  (Cadillac Côtes de Bordeaux),Bordeaux-style Red Blend,Château Carignan
France,"88-90 Barrel sample. With its minty aroma and high proportion of new wood, this is a wine which shows polish, a smooth, wood-laden texture offering a wine that will probably age quickly.",Barrel sample,89,,Bordeaux,Margaux,,Roger Voss,@vossroger,Château Ferrière 2008 Barrel sample  (Margaux),Bordeaux-style Red Blend,Château Ferrière
South Africa,"Bright citrus peel, green apple, fresh grass and savory herbs abound on the nose and mouth of this lively white. The palate is sprightly and refreshing, with zesty acidity and a hint of fynbos herbaceousness on the finish. Drink now.",,87,17.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Tokara 2014 Sauvignon Blanc (Western Cape),Sauvignon Blanc,Tokara
Chile,"Herbal raspberry and leather aromas create an obtuse nose. This is round, not overly exact in feel, and mild in acidity. Peppery flavors of raspberry and cherry end in dry, standard fashion.",Reserve,86,10.0,Maule Valley,,,Michael Schachner,@wineschach,Santa Alba 2013 Reserve Pinot Noir (Maule Valley),Pinot Noir,Santa Alba
France,"Pierre Henri Morel is Chapoutier's general manager, but he also has his own line of wines that can often represent excellent value. This blend of Grenache, Clairette and Bourboulenc is full bodied and rich, toasty and smoky with oak influence and well endowed with peach and pineapple fruit. Drink it over the next year.",Laudun Blanc,91,-20.0,Rhône Valley,Côtes du Rhône Villages,,Joe Czerwinski,@JoeCz,Pierre Henri Morel 2010 Laudun Blanc White (Côtes du Rhône Villages),Rhône-style White Blend,Pierre Henri Morel
US,"Sharp in acidity, cherry—and raspberry—pie filling, this Zin has a sweet-and-sour taste. Don't look for subtlety, just grab the barbecue and pair it with this spicy, lusty wine.",Jackson James,86,25.0,California,Sonoma Coast,Sonoma,,,Blanchard Family 2010 Jackson James Zinfandel (Sonoma Coast),Zinfandel,Blanchard Family
France,"Each year, the Jacquesson blended nonvintage is identified by a new cuvée number, meaning the vintage basis of the blend and the composition has changed. But not the style, which remains firmly dry, full of gravitas and intense quality. The wine has plenty of freshness, but the ripe fruit shows signs of opening out and becoming more complex.",Cuvée No 733 Brut,94,63.0,Champagne,Champagne,,Roger Voss,@vossroger,Jacquesson et Fils NV Cuvée No 733 Brut  (Champagne),Champagne Blend,Jacquesson et Fils
Romania,"Aromas of cherry, raspberry and a whiff of mint lead to flavors of dried cherry, raspberry and strawberry in this easy quaffing Pinot Noir.",La Umbra,88,-9.0,Dealurile Munteniei,,,Jeff Jenssen,@worldwineguys,Cramele Halewood 2013 La Umbra Pinot Noir (Dealurile Munteniei),Pinot Noir,Cramele Halewood
US,"This wine is mostly Merlot along with equal parts Cabernet Franc and Cabernet Sauvignon. Aromas of barrel spices, red cherries, dried and fresh herbs and toast are followed by plump cherry and cranberry flavors, brightened by tart, puckering acidity that needs time to fully integrate. Drink from 2019 and beyond.",Domenica,89,38.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,DiStefano 2012 Domenica Red (Columbia Valley (WA)),Bordeaux-style Red Blend,DiStefano
US,"A blend of grapes from St. Helena and Coombsville, this is a balanced combination of warm, ripe fruit and cool-climate acidity. The flavors are ripe with black currants and new French oak. It's already throwing sediment, but it should reward additional time in the cellar. Give it until at least 2017, although it could still be rocking and rolling in 2025.",,92,85.0,California,Napa Valley,Napa,,,Delgadillo 2005 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Delgadillo
France,"This beautiful wine is already so balanced and ripe. Rich tropical and yellow fruits are lightly spiced and given a lift with the acidity. Along with that, it offers a more complex texture and mineral character. Drink from 2017.",Zotzenberg Grand Cru,93,42.0,Alsace,Alsace,,Roger Voss,@vossroger,Boeckel 2013 Zotzenberg Grand Cru Pinot Gris (Alsace),Pinot Gris,Boeckel
France,"Made from selected parcels of Gamay, this structured wine offers both fruit and fresh acidity. It has a dry core, giving a solid wine with some aging potential. Aromatic and fresh red fruits complete a wine that will be better from 2016.",Grande QV,88,16.0,Burgundy,Coteaux Bourguignons,,Roger Voss,@vossroger,Vignerons de Bel Air 2014 Grande QV  (Coteaux Bourguignons),Gamay,Vignerons de Bel Air
US,"Pressed apple and pear notes are accented by hints of cinnamon and clove in this fresh, approachable wine. It's ripe and rounded but balanced by a kick of lemon-lime acidity that lingers through the finish.",,87,20.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Coffee Pot Cellars 2014 Chardonnay (North Fork of Long Island),Chardonnay,Coffee Pot Cellars
Chile,"A spicy, dry berry aroma forms a strong opening that's crisp, focused and slightly herbal in character. The palate feels juicy and tight, with crisp tannins that set up racy cassis, plum and mocha flavors. Clean and fresh on the finish.",Parras Viejas,89,39.0,Colchagua Valley,,,Michael Schachner,@wineschach,Santa Helena 2010 Parras Viejas Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,Santa Helena
Georgia,"Deep ruby in the glass, this wine has a nose of fruits of the wood and smoke. It offers a sophisticated medley of fruit and savory flavors, in particular blackberry, raspberry, tobacco and leather. Firm tannins coat the mouth but do not overpower the palate, allowing for a surprisingly bright finish.",Kvevri Wine,90,28.0,Kakheti,,,Mike DeSimone,@worldwineguys,Antadze 2014 Kvevri Wine Saperavi (Kakheti),Saperavi,Antadze
Argentina,"Lactic aromas of creamy oak, latex and plastic come with a hint of mocha. Resilient on the palate, it has oaky, lactic flavors of black plum and cassis. A candied tasting, creamy finish is fresh and firm. The blend is 78% Malbec and 22% Cabernet Sauvignon.",Red Blend,89,65.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,ZaHa 2011 Red Blend Malbec-Cabernet Sauvignon (Mendoza),Malbec-Cabernet Sauvignon,ZaHa
US,"This wine is put together from multiple vineyard sources, including the well-known Morelli Lane and Widdoes, all farmed by the Duttons. Larger in production than many of the vineyard-designates, it offers baked bread and juicy overtones of cranberry-raspberry layered atop luxuriously toasted oak. It'll show well at the table.",Dutton Ranch,91,44.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Pinot Noir,Dutton-Goldfield
US,"A powerful and dramatic Pinot Noir. The first thing you notice is the depth. The range of flavors goes on and on, ranging from cherries, oranges and cola through mocha to more classic notes of forest floor, mushrooms and peppery spices. Bone dry, with ultra-fine tannins, it's a gorgeous wine now, and should age gracefully for 6–8 years.",Ferguson Block,94,44.0,California,Carneros,Napa-Sonoma,,,Robert Stemmler 2007 Ferguson Block Pinot Noir (Carneros),Pinot Noir,Robert Stemmler
US,"Grenache makes up half of this wine with the rest equally split across Syrah and Mourvèdre. It brings aromas of herb, cherry, blueberry and raspberry that are followed by silky feeling red and blue-fruit flavors that linger on the finish.",,91,35.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Woodinville Wine Cellars 2013 G-S-M (Columbia Valley (WA)),G-S-M,Woodinville Wine Cellars
Spain,"Stalky, slightly green aromas blend with generic berry scents to form a marginal bouquet. This is tannic and rough on the palate, with buttery oak flavors along with candied berry fruit notes.",Rojo Granrojo,82,11.0,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Bodegas Navarro López 2011 Rojo Granrojo Tempranillo-Garnacha (Vino de la Tierra de Castilla),Tempranillo-Garnacha,Bodegas Navarro López
Italy,"Ripe blackberry, spiced plum, purple flower and vanilla aromas jump out of the glass. The palate is more restrained, showing dried cherry, clove and a hint of clove set against close-grained tannins. Drink sooner rather than later to capture the remaining fruit.",,87,16.0,Southern Italy,Beneventano,,Kerin O’Keefe,@kerinokeefe,Vesevo 2012 Aglianico (Beneventano),Aglianico,Vesevo
US,"From one of the state's most highly regarded vineyards, this boasts beguiling aromas of milk chocolate, plum, barrel spice, vanilla, herb and coffee. Lightly smoky, sensuous fruit and barrel flavors follow, showing more elegance than this often brawny appellation is known for.",Ciel du Cheval Vineyard,90,45.0,Washington,Red Mountain,Columbia Valley,Sean P. Sullivan,@wawinereport,Januik 2014 Ciel du Cheval Vineyard Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Januik
France,"From the home vineyards of the Saget family, this a warm and generous wine. While endowed with many green Sauvignon Blanc characteristics, the tropical fruit style makes it feel rich. As it ages, it will offer even more complex flavors. Drink from 2015.",Le Domaine,91,35.0,Loire Valley,Pouilly-Fumé,,Roger Voss,@vossroger,Saget la Perrière 2012 Le Domaine  (Pouilly-Fumé),Sauvignon Blanc,Saget la Perrière
US,"A mushroomy underbelly lies beneath a layer of leather and graphite, making for a tight, dry wine with sizable tannin structure. Powerfully concentrated, this wine holds 10% Cabernet Sauvignon and is not for the faint of heart.",Estate Grown,88,50.0,California,Calistoga,Napa,Virginie Boone,@vboone,Kenefick Ranch 2012 Estate Grown Merlot (Calistoga),Merlot,Kenefick Ranch
US,"Great structure, with crisp, supportive acids and a fine overlay of oak that seasons but doesn't overwhelm. The flavors are quite lean. The winemaker calls them mineral-like, but it's more like grapefruits and lemons. The main problem with this well-made wine is, in fact, this lack of flavor.",Estate Bottled,84,23.0,California,Alexander Valley,Sonoma,,,Stuhlmuller Vineyards 2000 Estate Bottled Chardonnay (Alexander Valley),Chardonnay,Stuhlmuller Vineyards
Germany,"Plump and powerful yellow plum and cherry flavors seem peppered by spice and tea leaves in this lithe but penetrating wine. Sunny, ripe flavors don't detract from the 2014 vintage's trademark acidity—the finish is pure citrus refreshment. Drink now through 2020.",Erdener Treppchen Kabinett,92,28.0,Mosel,,,Anna Lee C. Iijima,,Dr. Loosen 2014 Erdener Treppchen Kabinett Riesling (Mosel),Riesling,Dr. Loosen
Germany,"Zesty lime and green melon notes resonate throughout this ethereally light but scintillating dry Riesling. Dusty mineral and pollen notes lend an earthen dimension to crisp, green plum and herb on the palate. It's spine tingling and revitalizing yet lingers persistently on the finish.",Wehlener Sonnenuhr GG Alte Reben Grosse Lage Dry,92,54.0,Mosel,,,Anna Lee C. Iijima,,Dr. Loosen 2014 Wehlener Sonnenuhr GG Alte Reben Grosse Lage Dry Riesling (Mosel),Riesling,Dr. Loosen
Australia,"The nose of this wine features some delicately lifted floral scents, but also darker notes of brandied cherries and asphalt. Give it some breathing time to let the tarry notes fade and allow the red cherry and cinnamon red-hot flavors to emerge. Finishes long, mouthwatering and just a touch warming. Drink now–2014.",The Derelict Vineyard,89,29.0,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2007 The Derelict Vineyard Grenache (McLaren Vale),Grenache,D'Arenberg
US,"A dramatic wine, this is rich, full bodied and incredibly complex, laced with notes of ripe, sweet blackberries and crème de cassis, with a spirituous heat from relatively high alcohol. Its pedigree is clear throughout the entire tasting experience. This is a really gorgeous Cabernet, showing refinement and grace, but it is very tannic. Give it at least 10 years.",,97,190.0,California,Napa Valley,Napa,,,Gandona 2009 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Gandona
Portugal,"Very Douro in its mineral texture and dry core, it also has a surround of ripe black fruits. It's concentrated and has some aging potential, although it can be drunk now.",Porrais,87,13.0,Douro,,,Roger Voss,@vossroger,Quinta de Porrais 2010 Porrais Red (Douro),Portuguese Red,Quinta de Porrais
US,"Intriguingly unique scents and flavors highlight this wine from the estate started more than a century ago by the legendary Paul Masson. Aromas of pomegranate juice, sour plum and elderberry jam meet with juniper, wet tobacco and spearmint on the nose. The palate packs black plum and blackberries with rose hips, black tea and more tobacco.",,88,43.0,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,The Mountain Winery 2012 Pinot Noir (Santa Cruz Mountains),Pinot Noir,The Mountain Winery
